"Author","Author Bio"
"George Perkins","George Perkins is Professor of English at Eastern Michigan University and an Associate Editor ofNarrative. He holds degrees from Tufts and Duke universities and received his Ph.D. from Cornell.He has been a Fulbright Lecturer at the University of Newcastle in Australia and has held a Fellowship at the Institute for Advanced Studies in the Humanities at the University of Edinburgh. In addition to Newcastle and Edinburgh, he has taught at Washington University, Baldwin-Wallace College and Fairleigh Dickinson University. His books include THE THEORY OF THE AMERICAN NOVEL, REALISTIC AMERICAN SHORT FICTION, AMERICAN POETIC THEORY, THE HARPER HANDBOOK TO LITERATURE (with Northrup Frye and Sheridan Baker), THE PRACTICALIMAGINATION (with Frye, Baker and Barbara Perkins), BENET'S READER'S ENCYCLOPEDIA OF AMERICAN LITERATURE (with Barbara Perkins), KALEIDOSCOPE: Stories of the AmericanExperience (with Barbara Perkins), WOMEN'S WORK; An Anthology of American Literature (withBarbara Perkins and Robyn Warhol), and THE AMERICAN TRADITION IN LITERATURE, 9TH edition (with Barbara Perkins).Barbara Perkins is Adjunct Professor of English at the University of Toledo and Associate Editor of Narrative. Since its founding, she has served as Secretary-Treasurer of the Society for the Study of Narrative Literature. She received her Ph.D. from the University of Pennsylvania and has taught at Baldwin-Wallace College, The University of Pennsylvania, Fairleigh Dickinson University, Eastern Michigan University, and the University of Newcastle, Australia. She has contributed essays to several reference works including CONTEMPORARY NOVELISTS, GREAT WRITERS OF THE ENLGISH LANGUAGE, and THE WORLD BOOK ENCYCLOPEDIA. Her books include CONTEMPORARY AMERICAN LITERATURE (with George Perkins), BENET'S READER'S ENCYCLOPEDIA OFAMERICAN LITERATURE (with George Perkins and Phillip Leininger), KALEIDOSCIPE: StoriesOf the American Experience (with George Perkins), WOMEN'S WORK: An Anthology of American Literature (with George Perkins and Robyn Warhol) and THE AMERICAN TRADITION IN LITERATURE, 9th edition (with George Perkins)."
"Sheila Meintjes",
"Margaret Ferguson","Margaret Ferguson (Ph.D. Yale University) is Professor of English and Comparative Literature at the University of California—Davis. She is author of Dido’s Daughters: Literacy, Gender, and Empire in Early Modern England and France (2003) and Trials of Desire: Renaissance Defenses of Poetry (1984). She is coeditor of Feminism in Time, Women, Property, and the Letters of the Law, Literacies in Early Modern England and a critical edition of Elizabeth Cary’s Tragedy of Mariam.Mary Jo Salter (M.A. Cambridge University) is Emily Dickinson Senior Lecturer in the Humanities at Mount Holyoke College, where she teaches poetry and poetry-writing. She has published several books of poems, including Henry Purcell in Japan (1985), Unfinished Painting (1989), Sunday Skaters (1994), A Kiss in Space (1999), and, most recently, Open Shutters (2003). A vice president of the Poetry Society of America, she has also served as poetry editor of The New Republic.Jon Stallworthy (M.A. and B.Litt. Oxford) is Senior Research Fellow at Wolfson College of Oxford University, where he is also Professor of English Literature. He is also the former John Wendell Anderson Professor at Cornell, where he taught after a career at Oxford University Press. His biography of Wilfred Owen won the Duff Cooper Memorial Prize, the W. H. Smith Literary Award, and the E. M. Forster Award of the American Academy of Arts and Letters. His biography of Louis MacNeice won the Southern Arts Literary Prize. He is also the author of Rounding the Horn: Collected Poems and Singing School: The Making of a Poet and he is the editor of the definitive edition of Wilfred Owen’s poetry, The Complete Poems and Fragments; The Penguin Book of Love Poetry; and The Oxford Book of War Poetry. Stallworthy has received a Guggenheim Fellowship and is a fellow of the British Academy and the Royal Society of Literature."
"Garland","Manuel de Jes(oe)s Hern ndez-Guti rrez is an Associate Professor, and David William Foster is a Regents' Professor of Spanish, Arizona State University."
"Anthonia C. Kalu",
"Robert Morneau",
"William Chapman Sharpe","William Chapman Sharpe is professor of English at Barnard College, Columbia University. He is the author of ""Unreal Cities"" and the coeditor of ""Visions of the Modern City""."
"Ann Charters","Scholar, editor, and biographer of Beat generation writer Jack Kerouac -- she even penned the preface to his groundbreaking On the Road -- Ann Charters captures the passion and promise of one of the most culturally influential decades of the century."
"Sue Miller","Sue Miller is an expert in limning the pain of endings, but if this were the extent of her talents, she probably would not be as successful as she is. In Miller's books, one broken relationship often leads to the development of another. Her stories may not offer pat answers and perfect love stories, but readers find something more rewarding in the end."
"George McMichael",
"Martin Espada",
"Holly Hill",
"Kevin Powell","KEVIN POWELL is a critically acclaimed poet, journalist, essayist, and public speaker. A former senior writer for Vibe, he has been published in dozens of periodicals, including the Washington Post, Essence, Code, Rolling Stone, the New York Times, George, Ms., and voter.com."
"Rachel Zucker","Rachel Zucker is the author of four books of poetry, including Museum of Accidents and The Bad Wife Handbook, and is coeditor, with Arielle Greenberg, of Women Poets on Mentorship: Efforts and Affections (Iowa, 2008). She teaches poetry, is a certified labor doula, and is studying to become a childbirth educator. Arielle Greenberg is the author of My Kafka Century and Given and coeditor of the forthcoming Gurlesque, with Lara Glenum. She is an associate professor at Columbia College–Chicago."
"Michele Volansky",
"Caryn Mirriam-Goldberg",
"Sandra Martz","Sandra Kay Martz founded Papier-Mache Press in 1984. Papier-Mache Press was known for publishing accessible books which, ""presented important social issues through enduring works of beauty, grace, and strength,"" and ""created a bridge of understanding between the mainstream audience and those who might not otherwise be heard. As an editor and publisher, she has compiled several successful Papier-Mache Press anthologies including If I Had My Life to Live Over I Would Pick More Daisies, and I Am Becoming the Woman I've Wanted, a book that explores the powerful feelings women have about their bodies."
"Vincent Carretta",
"David Lehman","David Lehman is Poetry Coordinator of the New School Writing Program in New York City. His most recent books of poetry are The Evening Sun and When a Woman Loves a Man and he has written five books of critical prose, including The Last Avant-Garde: The Making of the New York School of Poets and The Perfect Murder: A Study in Detection. He founded The Best American Poetry series in 1988 and continues to serve as general editor of this prestigious anthology. He also edited Great American Prose Poems: From Poe to the Present and co-edited The KGB Bar Book of Poems, based on the reading series he directed with Star Black in New York's East Village.John Brehm (Associate Editor) is a poet and free-lance writer. His works include The Way Water Moves and Sea of Faith, which won a Brittingham Prize for Poetry. He lives in New York City."
"Mumia Abu-Jamal","Mumia Abu-Jamal, an award-winning journalist, is America's best-known political prisoner. Sentenced with execution, Mumia has lived on Death Row since 1982. Ever since he wrote for the Black Panther Party's national newspaper as a youth, Mumia has reported on the racism and inequity in our society. He soon added radio to his portfolio, eventually recording a series of reports from death row for NPR's All Things Considered. However, NPR, caving in to political pressure, refused to air the programs. Mumia Abu-Jamal is still fighting for his own freedom from prison, and through his powerful voice, for the freedom of all people from inequity."
"Henry Lyman",
"Carolyn Banks","Banks, Carolyn; Rizzo, JanisThe contributors are all authors of books, short stories, and poetry. Their works have been published in various national magazines, journals, and literary anthologies."
"Alicia Gaspar De Alba",
"Bill Sherwonit",
"D. Seth Horton","D. Seth Horton was born in San Diego and graduated from the University of Arizona with an MFA in creative writing. A former fiction editor for the Sonora Review, he currently lives in Tucson with his wife."
"Marie-Chantal Kalisa","Chantal Kalisa is an associate professor of francophone studies in the Department of Modern Languages and Literatures and in the Women’s and Gender Studies Program at the University of NebraskaLincoln. She is a coeditor of a book in French on the Rwandan genocide."
"Mary Frosch","Mary Frosch is also the editor of Coming of Age Around the World (The New Press). As a teacher at The Spence School she designed a world literature curriculum and helped implement the multicultural literature program. She divides her time between New York City and Santa Monica, California. Gary Soto is the author of over a dozen works of fiction and poetry. Winner of numerous prizes, including the 1985 National Book Award and a prize from the Academy of American Poets, Soto lives in Northern California."
"Joan R. Sherman",
"Robert Allen","The New York Times bestselling author of Brotherman: The Odyssey of Black Men in America and We Shall Overcome: A Living History of the Civil Rights Struggle Told in Words, Pictures, and the Voices of the Participants, Herb Boyd is an activist, journalist, and teacher. In 1995, with co-editor Robert Allen, Boyd received the American Book Award for Brotherman. Since 1996, he has been the national editor of The Black World Today. A noted authority on black studies, he has been teaching African and African American History for nearly forty years and currently teaches at the College of New Rochelle in the South Bronx. His history of the civil rights movement is scheduled to release in Fall 2005."
"Natasha Tabori Fried","Natasha Tabori Fried is Managing Editor of Welcome Enterprises. She has co-edited The Little Big Book of Chills and Thrills, The Little Big Book of America, and The Little Big Book of New York for Welcome Books. She lives in New York City."
"Valerie Kack-Brice",
"Terre Satterfield","Terre Satterfield is a research scientist with Decision Research in Oregon; she also teaches in the Resource Management and Environmental Studies graduate program at the University of British Columbia."
"Daniel A. Olivas",
"Steven Gould Axelrod",
"Marjorie Maddox","Marjorie Maddox is Director of Creative Writing and Professor of English at Lock Haven University. A resident of central Pennsylvania since 1990, she has published several award-winning poetry collections, including Transplant, Transport, Transubstantiation (2004), When the Wood Clacks Out Your Name: Baseball Poems (2001), and Perpendicular as I (1994). Jerry Wemple is Associate Professor of English at Bloomsburg University. He is the author of You Can See It from Here (2000), which won the Naomi Long Madgett Poetry Award, and The Civil War in Baltimore (2005). He grew up in the Susquehanna Valley."
"William Nack","GLENN STOUT is the author of Young Woman and the Sea, Red Sox Century, Yankees Century, The Dodgers, and The Cubs. He has been the editor of The Best American Sports Writing since its inception."
"Caledonia Kearns","Caledonia Kearns is the editor of Cabbage and Bones:&nbsp; An Anthology of Irish American Women's Fiction.&nbsp; A graduate of the University of Massachusetts at Amherst, she lives with her husband and daughter in Brooklyn, New York."
"Toni Cade Bambara",
"Nobantu Rasebotsa","Nobantu Rasebotsa is the dean of the faculty of humanities and lectures in the department of English at the University of Botswana. Meg Samuelson is completing her doctoral dissertation at the University of Cape Town and has been involved with HIV/AIDS projects. She is the coordinator of the ""Share Your Story about HIV/AIDS"" creative writing competition."
"Benita Eisler",
"Miriam Decosta-Willis",
"Don Graham","DON GRAHAM is the J. Frank Dobie Regents Professor of American and English Literature at the University of Texas at Austin. In 2006, he received the Chancellor's Council Outstanding Teaching Award. He is the author of numerous books and articles, including Giant Country: Essays on Texas (1998); and Kings of Texas: The 150-Year Saga of an American Ranching Empire (2003). In 2003 Graham edited Lone Star Literature: From the Red River to the Rio Grande. Graham has lived in Austin since the late 1970s."
"Molly O'Neill","Molly O'Neill, editor, was for a decade the food columnist for  The New York Times Magazine and the host of the PBS series Great Food. Her work has appeared in many national magazines, and she is the author of three cookbooks, including the award-winning The New York Cookbook. Her most recent book is Mostly True: A Memoir of Family, Food, and Baseball."
"Donna E. Norton",
"Elizabeth Hun Schmidt","Elizabeth Hun Schmidt, a former poetry editor at the New York Times Book Review, is the editor of the acclaimed anthology Poems of New York and The Poets Laureate Anthology. She lives in New York City and currently teaches American literature at Sarah Lawrence College.Billy Collins was a Poet Laureate of the United States."
"Joli Sandoz",
"Retha Powers",
"Jill Jepson",
"Camille T. Dungy","Camille T. Dungy is an associate professor in the Creative Writing Department at San Francisco State University. She is the author of two poetry collections, What to Eat, What to Drink, What to Leave for Poison and Suck on the Marrow, and has helped edit two other poetry anthologies."
"Robert Finch","Robert Finch is the author of five collections of essays and co-editor of The Norton Book of Nature Writing. He broadcasts a weekly commentary on NPR and serves on the faculty of the MFA in Writing Program at Spalding University in Louisville, KY. He lives in Wellfleet, MA."
